"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
751418;2026-02-10;"terça-feira";"14:00:00";"RJ";116;147;"DUQUE DE CAXIAS";"Pista Escorregadia";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Chuva";"Dupla";"Reta";"Sim";1;0;1;0;0;0;1;1;-22,67045102;-43,27445736;"SPRF-RJ";"DEL01-RJ";"UOP02-DEL01-RJ"
751422;2026-02-10;"terça-feira";"15:50:00";"MG";365;792;"GURINHATA";"Chuva";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Dupla";"Interseção de Vias";"Sim";1;0;1;0;0;0;1;1;-18,931446;-49,838519;"SPRF-MG";"DEL15-MG";"UOP03-DEL15-MG"
751423;2026-02-10;"terça-feira";"09:40:00";"RJ";101;306;"SAO GONCALO";"Ausência de reação do condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Dupla";"Reta";"Sim";2;0;1;0;1;0;1;2;-22,78947604;-43,00769806;"SPRF-RJ";"DEL02-RJ";"UOP02-DEL02-RJ"
751424;2026-02-10;"terça-feira";"17:10:00";"GO";50;105,9;"CRISTALINA";"Chuva";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Chuva";"Dupla";"Reta";"Não";1;0;1;0;0;0;1;1;-16,816712;-47,670122;"SPRF-DF";"DEL01-DF";"UOP02-DEL01-DF"
751425;2026-02-10;"terça-feira";"11:00:00";"RO";421;47,5;"MONTE NEGRO";"Ultrapassagem Indevida";"Colisão frontal";"Com Vítimas Fatais";"Pleno dia";"Decrescente";"Nublado";"Simples";"Declive;Reta";"Não";4;1;1;2;0;0;3;2;-10,25203;-63,280763;"SPRF-RO";"DEL03-RO";"UOP01-DEL03-RO"
751426;2026-02-10;"terça-feira";"17:30:00";"RN";304;300;"MACAIBA";"Ausência de reação do condutor";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Sim";1;0;1;0;0;0;1;1;-5,8752317;-35,3095815;"SPRF-RN";"DEL01-RN";"UOP02-DEL01-RN"
751427;2026-02-10;"terça-feira";"17:05:00";"SP";153;72,3;"SAO JOSE DO RIO PRETO";"Problema na suspensão";"Tombamento";"Com Vítimas Feridas";"Anoitecer";"Crescente";"Garoa/Chuvisco";"Dupla";"Reta";"Sim";2;0;1;1;0;0;2;1;-20,870432;-49,415861;"SPRF-SP";"DEL09-SP";"UOP01-DEL09-SP"
751428;2026-02-10;"terça-feira";"18:00:00";"RN";304;35;"MOSSORO";"Reação tardia ou ineficiente do condutor";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Rotatória";"Sim";2;0;1;0;1;0;1;2;-5,16484782;-37,35184193;"SPRF-RN";"DEL04-RN";"UOP02-DEL04-RN"
751431;2026-02-10;"terça-feira";"17:50:00";"MG";116;494,5;"INHAPIM";"Acumulo de água sobre o pavimento";"Colisão frontal";"Com Vítimas Feridas";"Anoitecer";"Crescente";"Chuva";"Simples";"Reta";"Não";4;0;2;0;2;0;2;2;-19,516692;-42,128172;"SPRF-MG";"DEL06-MG";"UOP02-DEL06-MG"
751432;2026-02-10;"terça-feira";"14:38:00";"GO";60;300,9;"ACREUNA";"Chuva";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Dupla";"Curva";"Não";2;0;2;0;0;0;2;1;-17,37527;-50,356432;"SPRF-GO";"DEL04-GO";"UOP02-DEL04-GO"
751434;2026-02-10;"terça-feira";"18:15:00";"PB";101;96,3;"CONDE";"Acessar a via sem observar a presença dos outros veículos";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Dupla";"Reta";"Não";2;0;1;0;1;0;1;2;-7,23279499;-34,9223613;"SPRF-PB";"DEL01-PB";"UOP01-DEL01-PB"
751436;2026-02-10;"terça-feira";"18:12:00";"ES";101;266,6;"SERRA";"Manobra de mudança de faixa";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Nublado";"Múltipla";"Reta";"Sim";3;0;2;0;1;0;2;2;-20,194584;-40,26843;"SPRF-ES";"DEL02-ES";"UOP01-DEL02-ES"
751437;2026-02-10;"terça-feira";"17:10:00";"SC";282;318;"VARGEM";"Condutor Dormindo";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Declive;Curva";"Não";1;0;1;0;0;0;1;1;-27,4361689;-51,02018293;"SPRF-SC";"DEL07-SC";"UOP06-DEL07-SC"
751438;2026-02-10;"terça-feira";"16:30:00";"SC";101;320;"PESCARIA BRAVA";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Interseção de Vias";"Sim";2;0;1;0;1;0;1;2;-28,4242;-48,8959;"SPRF-SC";"DEL02-SC";"UOP01-DEL02-SC"
751441;2026-02-10;"terça-feira";"17:00:00";"MT";70;300;"PRIMAVERA DO LESTE";"Ingestão de álcool pelo condutor";"Engavetamento";"Sem Vítimas";"Anoitecer";"Decrescente";"Chuva";"Simples";"Reta;Aclive";"Não";7;0;0;0;7;0;0;4;-15,5790443;-54,47259;"SPRF-MT";"DEL05-MT";"UOP01-DEL05-MT"
751442;2026-02-10;"terça-feira";"18:25:00";"SC";480;132,5;"CHAPECO";"Conversão proibida";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Simples";"Interseção de Vias";"Sim";2;0;1;0;1;0;1;2;-27,05535491;-52,61993408;"SPRF-SC";"DEL07-SC";"UOP01-DEL07-SC"
751443;2026-02-10;"terça-feira";"18:36:00";"ES";101;293,9;"CARIACICA";"Objeto estático sobre o leito carroçável";"Colisão com objeto";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Reta;Declive";"Sim";1;0;1;0;0;0;1;1;-20,3241108;-40,39529443;"SPRF-ES";"DEL01-ES";"UOP01-DEL01-ES"
751444;2026-02-10;"terça-feira";"15:40:00";"SP";116;452,4;"REGISTRO";"Velocidade Incompatível";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Chuva";"Dupla";"Reta";"Não";1;0;1;0;0;0;1;1;-24,55681414;-47,86576049;"SPRF-SP";"DEL05-SP";"UOP01-DEL05-SP"
751446;2026-02-10;"terça-feira";"19:00:00";"PE";101;78;"JABOATAO DOS GUARARAPES";"Acumulo de água sobre o pavimento";"Queda de ocupante de veículo";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";2;0;0;1;1;0;1;1;-8,14224;-34,94652;"SPRF-PE";"DEL01-PE";"UOP01-DEL01-PE"
751447;2026-02-10;"terça-feira";"19:00:00";"SP";488;4;"APARECIDA";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Nublado";"Dupla";"Curva;Retorno Regulamentado";"Sim";4;0;0;2;2;0;2;3;-22,86051421;-45,25364913;"SPRF-SP";"DEL08-SP";"UOP01-DEL08-SP"
751448;2026-01-15;"quinta-feira";"15:27:00";"SC";280;28,5;"ARAQUARI";"Trafegar com motocicleta (ou similar) entre as faixas";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta;Interseção de Vias";"Sim";3;0;1;0;2;0;1;2;-26,40832864;-48,74815676;"SPRF-SC";"DEL03-SC";"UOP03-DEL03-SC"
751449;2026-02-08;"domingo";"18:00:00";"RJ";465;3;"SEROPEDICA";"Chuva";"Colisão com objeto";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Chuva";"Simples";"Reta";"Não";1;0;1;0;0;0;1;1;-22,7316532;-43,71442485;"SPRF-RJ";"DEL06-RJ";"UOP02-DEL06-RJ"
751450;2026-02-10;"terça-feira";"16:31:00";"AC";317;275;"EPITACIOLANDIA";"Ausência de reação do condutor";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";1;0;1;0;0;0;1;1;-10,970951;-68,622206;"SPRF-AC";"DEL01-AC";"UOP02-DEL01-AC"
